inst#,actual,predicted,error,prediction
381,5:deer,6:dog,+,0.567
382,5:deer,5:deer,,0.478
383,5:deer,5:deer,,0.461
384,5:deer,5:deer,,0.416
385,5:deer,5:deer,,0.484
386,5:deer,5:deer,,0.461
387,5:deer,3:bird,+,0.677
388,5:deer,7:frog,+,0.585
389,5:deer,4:cat,+,0.487
390,5:deer,4:cat,+,0.468
391,5:deer,7:frog,+,0.585
392,5:deer,8:horse,+,0.767
393,5:deer,5:deer,,0.416
394,5:deer,8:horse,+,0.626
395,5:deer,5:deer,,0.461
396,5:deer,7:frog,+,0.587
397,5:deer,5:deer,,0.484
398,5:deer,5:deer,,0.412
399,5:deer,5:deer,,0.484
400,5:deer,5:deer,,0.454
1,7:frog,4:cat,+,0.424
2,7:frog,3:bird,+,0.442
3,7:frog,7:frog,,0.62
4,7:frog,1:airplane,+,0.7
5,7:frog,10:truck,+,0.4
6,7:frog,5:deer,+,0.405
7,7:frog,6:dog,+,0.503
8,7:frog,1:airplane,+,0.747
9,7:frog,5:deer,+,0.385
10,7:frog,6:dog,+,0.586
11,7:frog,7:frog,,0.455
12,7:frog,3:bird,+,0.59
13,7:frog,2:automobile,+,0.731
14,7:frog,10:truck,+,0.337
15,7:frog,1:airplane,+,0.747
16,7:frog,4:cat,+,0.37
17,7:frog,5:deer,+,0.405
18,7:frog,7:frog,,0.455
19,7:frog,7:frog,,0.62
20,7:frog,5:deer,+,0.424
21,7:frog,3:bird,+,0.59
22,7:frog,10:truck,+,0.605
23,7:frog,5:deer,+,0.421
24,7:frog,4:cat,+,0.424
25,7:frog,1:airplane,+,0.747
26,7:frog,9:ship,+,0.637
27,7:frog,9:ship,+,0.637
28,7:frog,5:deer,+,0.421
29,7:frog,10:truck,+,0.499
30,7:frog,3:bird,+,0.59
31,7:frog,6:dog,+,0.676
32,7:frog,1:airplane,+,0.748
33,7:frog,7:frog,,0.62
34,7:frog,7:frog,,0.62
35,7:frog,6:dog,+,0.511
36,7:frog,6:dog,+,0.58
37,7:frog,7:frog,,0.62
38,7:frog,5:deer,+,0.424
39,7:frog,5:deer,+,0.34
40,7:frog,5:deer,+,0.385
41,7:frog,10:truck,+,0.337
42,9:ship,1:airplane,+,0.749
43,9:ship,9:ship,,0.407
44,9:ship,6:dog,+,0.483
45,9:ship,9:ship,,0.76
46,9:ship,9:ship,,0.521
47,9:ship,9:ship,,0.407
48,9:ship,10:truck,+,0.539
49,9:ship,9:ship,,0.722
50,9:ship,9:ship,,0.687
51,9:ship,9:ship,,0.627
52,9:ship,2:automobile,+,0.72
53,9:ship,2:automobile,+,0.719
54,9:ship,6:dog,+,0.669
55,9:ship,9:ship,,0.722
56,9:ship,9:ship,,0.521
57,9:ship,9:ship,,0.722
58,9:ship,9:ship,,0.664
59,9:ship,10:truck,+,0.4
60,9:ship,9:ship,,0.79
61,9:ship,9:ship,,0.635
62,9:ship,8:horse,+,0.652
63,9:ship,10:truck,+,0.4
64,9:ship,10:truck,+,0.655
65,9:ship,1:airplane,+,0.368
66,9:ship,9:ship,,0.79
67,9:ship,10:truck,+,0.655
68,9:ship,1:airplane,+,0.752
69,9:ship,2:automobile,+,0.282
70,9:ship,9:ship,,0.521
71,9:ship,9:ship,,0.79
72,9:ship,9:ship,,0.407
73,9:ship,9:ship,,0.76
74,9:ship,9:ship,,0.407
75,9:ship,4:cat,+,0.467
76,9:ship,2:automobile,+,0.719
77,9:ship,1:airplane,+,0.442
78,9:ship,9:ship,,0.627
79,9:ship,9:ship,,0.635
80,9:ship,5:deer,+,0.385
81,9:ship,9:ship,,0.627
82,1:airplane,1:airplane,,0.747
83,1:airplane,1:airplane,,0.442
84,1:airplane,1:airplane,,0.749
85,1:airplane,1:airplane,,0.747
86,1:airplane,1:airplane,,0.7
87,1:airplane,1:airplane,,0.748
88,1:airplane,1:airplane,,0.748
89,1:airplane,10:truck,+,0.655
90,1:airplane,8:horse,+,0.399
91,1:airplane,1:airplane,,0.748
92,1:airplane,10:truck,+,0.337
93,1:airplane,1:airplane,,0.7
94,1:airplane,1:airplane,,0.498
95,1:airplane,1:airplane,,0.748
96,1:airplane,1:airplane,,0.442
97,1:airplane,9:ship,+,0.664
98,1:airplane,10:truck,+,0.539
99,1:airplane,1:airplane,,0.747
100,1:airplane,1:airplane,,0.442
101,1:airplane,1:airplane,,0.535
102,1:airplane,5:deer,+,0.407
103,1:airplane,1:airplane,,0.752
104,1:airplane,1:airplane,,0.747
105,1:airplane,1:airplane,,0.748
106,1:airplane,9:ship,+,0.637
107,1:airplane,1:airplane,,0.748
108,1:airplane,1:airplane,,0.417
109,1:airplane,1:airplane,,0.748
110,1:airplane,1:airplane,,0.442
111,1:airplane,1:airplane,,0.747
112,1:airplane,1:airplane,,0.442
113,1:airplane,1:airplane,,0.749
114,1:airplane,4:cat,+,0.431
115,1:airplane,10:truck,+,0.4
116,1:airplane,1:airplane,,0.747
117,1:airplane,10:truck,+,0.4
118,1:airplane,1:airplane,,0.748
119,2:automobile,2:automobile,,0.751
120,2:automobile,6:dog,+,0.68
121,2:automobile,10:truck,+,0.547
122,2:automobile,2:automobile,,0.727
123,2:automobile,2:automobile,,0.755
124,2:automobile,5:deer,+,0.385
125,2:automobile,2:automobile,,0.755
126,2:automobile,8:horse,+,0.664
127,2:automobile,10:truck,+,0.4
128,2:automobile,2:automobile,,0.755
129,2:automobile,9:ship,+,0.375
130,2:automobile,2:automobile,,0.751
131,2:automobile,2:automobile,,0.719
132,2:automobile,2:automobile,,0.751
133,2:automobile,2:automobile,,0.751
134,2:automobile,2:automobile,,0.731
135,2:automobile,4:cat,+,0.631
136,2:automobile,2:automobile,,0.719
137,2:automobile,2:automobile,,0.751
138,2:automobile,2:automobile,,0.751
139,2:automobile,2:automobile,,0.717
140,2:automobile,8:horse,+,0.399
141,2:automobile,2:automobile,,0.727
142,2:automobile,9:ship,+,0.722
143,2:automobile,2:automobile,,0.731
144,2:automobile,2:automobile,,0.727
145,2:automobile,1:airplane,+,0.749
146,2:automobile,6:dog,+,0.586
147,2:automobile,2:automobile,,0.282
148,2:automobile,2:automobile,,0.751
149,2:automobile,2:automobile,,0.717
150,2:automobile,9:ship,+,0.517
151,2:automobile,2:automobile,,0.727
152,2:automobile,2:automobile,,0.751
153,2:automobile,9:ship,+,0.76
154,2:automobile,2:automobile,,0.731
155,2:automobile,10:truck,+,0.4
156,2:automobile,2:automobile,,0.719
157,2:automobile,2:automobile,,0.731
158,8:horse,9:ship,+,0.722
159,8:horse,2:automobile,+,0.717
160,8:horse,1:airplane,+,0.535
161,8:horse,1:airplane,+,0.299
162,8:horse,8:horse,,0.61
163,8:horse,1:airplane,+,0.747
164,8:horse,5:deer,+,0.385
165,8:horse,8:horse,,0.665
166,8:horse,8:horse,,0.664
167,8:horse,8:horse,,0.61
168,8:horse,8:horse,,0.664
169,8:horse,8:horse,,0.583
170,8:horse,6:dog,+,0.281
171,8:horse,6:dog,+,0.586
172,8:horse,5:deer,+,0.407
173,8:horse,6:dog,+,0.58
174,8:horse,8:horse,,0.661
175,8:horse,8:horse,,0.665
176,8:horse,3:bird,+,0.442
177,8:horse,8:horse,,0.661
178,8:horse,9:ship,+,0.375
179,8:horse,3:bird,+,0.442
180,8:horse,6:dog,+,0.58
181,8:horse,8:horse,,0.665
182,8:horse,1:airplane,+,0.318
183,8:horse,8:horse,,0.384
184,8:horse,6:dog,+,0.483
185,8:horse,8:horse,,0.664
186,8:horse,5:deer,+,0.405
187,8:horse,10:truck,+,0.547
188,8:horse,9:ship,+,0.375
189,8:horse,8:horse,,0.651
190,8:horse,8:horse,,0.399
191,8:horse,8:horse,,0.665
192,8:horse,8:horse,,0.665
193,8:horse,8:horse,,0.652
194,8:horse,8:horse,,0.661
195,8:horse,4:cat,+,0.37
196,8:horse,8:horse,,0.664
197,8:horse,3:bird,+,0.486
198,8:horse,9:ship,+,0.375
199,8:horse,9:ship,+,0.637
200,3:bird,1:airplane,+,0.678
201,3:bird,1:airplane,+,0.747
202,3:bird,1:airplane,+,0.408
203,3:bird,5:deer,+,0.424
204,3:bird,1:airplane,+,0.408
205,3:bird,10:truck,+,0.544
206,3:bird,3:bird,,0.596
207,3:bird,5:deer,+,0.424
208,3:bird,9:ship,+,0.521
209,3:bird,1:airplane,+,0.748
210,3:bird,9:ship,+,0.375
211,3:bird,1:airplane,+,0.408
212,3:bird,6:dog,+,0.586
213,3:bird,2:automobile,+,0.719
214,3:bird,3:bird,,0.556
215,3:bird,1:airplane,+,0.408
216,3:bird,5:deer,+,0.385
217,3:bird,2:automobile,+,0.751
218,3:bird,6:dog,+,0.586
219,3:bird,3:bird,,0.442
220,3:bird,1:airplane,+,0.577
221,3:bird,3:bird,,0.59
222,3:bird,5:deer,+,0.421
223,3:bird,5:deer,+,0.405
224,3:bird,1:airplane,+,0.7
225,3:bird,3:bird,,0.596
226,3:bird,1:airplane,+,0.747
227,3:bird,5:deer,+,0.424
228,3:bird,3:bird,,0.596
229,3:bird,3:bird,,0.59
230,3:bird,7:frog,+,0.626
231,3:bird,1:airplane,+,0.442
232,3:bird,3:bird,,0.442
233,3:bird,1:airplane,+,0.404
234,3:bird,9:ship,+,0.627
235,3:bird,3:bird,,0.443
236,3:bird,1:airplane,+,0.408
237,3:bird,10:truck,+,0.539
238,3:bird,7:frog,+,0.62
239,3:bird,1:airplane,+,0.408
240,3:bird,3:bird,,0.442
241,4:cat,5:deer,+,0.424
242,4:cat,4:cat,,0.491
243,4:cat,4:cat,,0.426
244,4:cat,7:frog,+,0.455
245,4:cat,1:airplane,+,0.303
246,4:cat,10:truck,+,0.337
247,4:cat,6:dog,+,0.281
248,4:cat,6:dog,+,0.669
249,4:cat,5:deer,+,0.421
250,4:cat,4:cat,,0.431
251,4:cat,4:cat,,0.37
252,4:cat,8:horse,+,0.661
253,4:cat,4:cat,,0.491
254,4:cat,4:cat,,0.424
255,4:cat,4:cat,,0.431
256,4:cat,6:dog,+,0.586
257,4:cat,4:cat,,0.598
258,4:cat,4:cat,,0.491
259,4:cat,4:cat,,0.631
260,4:cat,1:airplane,+,0.303
261,4:cat,1:airplane,+,0.404
262,4:cat,2:automobile,+,0.733
263,4:cat,7:frog,+,0.455
264,4:cat,7:frog,+,0.62
265,4:cat,4:cat,,0.598
266,4:cat,4:cat,,0.467
267,4:cat,6:dog,+,0.58
268,4:cat,5:deer,+,0.424
269,4:cat,10:truck,+,0.544
270,4:cat,3:bird,+,0.596
271,4:cat,4:cat,,0.491
272,4:cat,4:cat,,0.431
273,4:cat,6:dog,+,0.68
274,4:cat,6:dog,+,0.676
275,4:cat,8:horse,+,0.653
276,4:cat,3:bird,+,0.556
277,4:cat,4:cat,,0.467
278,4:cat,5:deer,+,0.404
279,4:cat,10:truck,+,0.539
280,4:cat,7:frog,+,0.455
281,4:cat,6:dog,+,0.483
282,4:cat,9:ship,+,0.637
283,10:truck,10:truck,,0.536
284,10:truck,10:truck,,0.337
285,10:truck,10:truck,,0.544
286,10:truck,10:truck,,0.536
287,10:truck,1:airplane,+,0.442
288,10:truck,10:truck,,0.536
289,10:truck,4:cat,+,0.467
290,10:truck,2:automobile,+,0.733
291,10:truck,4:cat,+,0.424
292,10:truck,10:truck,,0.539
293,10:truck,10:truck,,0.539
294,10:truck,2:automobile,+,0.733
295,10:truck,2:automobile,+,0.751
296,10:truck,1:airplane,+,0.752
297,10:truck,9:ship,+,0.637
298,10:truck,2:automobile,+,0.282
299,10:truck,4:cat,+,0.631
300,10:truck,10:truck,,0.655
301,10:truck,2:automobile,+,0.727
302,10:truck,4:cat,+,0.431
303,10:truck,10:truck,,0.536
304,10:truck,6:dog,+,0.511
305,10:truck,10:truck,,0.536
306,10:truck,2:automobile,+,0.717
307,10:truck,10:truck,,0.536
308,10:truck,2:automobile,+,0.719
309,10:truck,2:automobile,+,0.733
310,10:truck,2:automobile,+,0.727
311,10:truck,4:cat,+,0.631
312,10:truck,10:truck,,0.536
313,10:truck,2:automobile,+,0.282
314,10:truck,10:truck,,0.499
315,10:truck,10:truck,,0.536
316,10:truck,10:truck,,0.547
317,10:truck,5:deer,+,0.385
318,10:truck,2:automobile,+,0.729
319,10:truck,10:truck,,0.547
320,10:truck,10:truck,,0.536
321,10:truck,10:truck,,0.539
322,6:dog,6:dog,,0.503
323,6:dog,6:dog,,0.58
324,6:dog,4:cat,+,0.431
325,6:dog,7:frog,+,0.62
326,6:dog,1:airplane,+,0.404
327,6:dog,6:dog,,0.511
328,6:dog,6:dog,,0.281
329,6:dog,6:dog,,0.511
330,6:dog,1:airplane,+,0.535
331,6:dog,6:dog,,0.281
332,6:dog,6:dog,,0.586
333,6:dog,10:truck,+,0.499
334,6:dog,6:dog,,0.483
335,6:dog,6:dog,,0.503
336,6:dog,2:automobile,+,0.717
337,6:dog,5:deer,+,0.405
338,6:dog,5:deer,+,0.385
339,6:dog,6:dog,,0.483
340,6:dog,6:dog,,0.58
341,6:dog,6:dog,,0.58
342,6:dog,6:dog,,0.511
343,6:dog,10:truck,+,0.655
344,6:dog,5:deer,+,0.405
345,6:dog,1:airplane,+,0.404
346,6:dog,6:dog,,0.586
347,6:dog,6:dog,,0.511
348,6:dog,3:bird,+,0.554
349,6:dog,6:dog,,0.483
350,6:dog,6:dog,,0.676
351,6:dog,1:airplane,+,0.552
352,6:dog,6:dog,,0.281
353,6:dog,6:dog,,0.669
354,6:dog,6:dog,,0.669
355,6:dog,7:frog,+,0.455
356,6:dog,3:bird,+,0.442
357,6:dog,1:airplane,+,0.404
358,6:dog,6:dog,,0.68
359,6:dog,6:dog,,0.676
360,6:dog,4:cat,+,0.467
361,6:dog,4:cat,+,0.446
362,6:dog,3:bird,+,0.442
363,5:deer,5:deer,,0.407
364,5:deer,5:deer,,0.405
365,5:deer,5:deer,,0.424
366,5:deer,1:airplane,+,0.368
367,5:deer,1:airplane,+,0.368
368,5:deer,4:cat,+,0.491
369,5:deer,2:automobile,+,0.731
370,5:deer,9:ship,+,0.521
371,5:deer,5:deer,,0.407
372,5:deer,5:deer,,0.421
373,5:deer,5:deer,,0.407
374,5:deer,1:airplane,+,0.318
375,5:deer,5:deer,,0.421
376,5:deer,5:deer,,0.385
377,5:deer,5:deer,,0.385
378,5:deer,5:deer,,0.424
379,5:deer,3:bird,+,0.59
380,5:deer,5:deer,,0.421
381,5:deer,1:airplane,+,0.552
382,5:deer,7:frog,+,0.62
383,5:deer,5:deer,,0.405
384,5:deer,1:airplane,+,0.446
385,5:deer,1:airplane,+,0.318
386,5:deer,5:deer,,0.421
387,5:deer,5:deer,,0.405
388,5:deer,1:airplane,+,0.749
389,5:deer,10:truck,+,0.536
390,5:deer,9:ship,+,0.375
391,5:deer,8:horse,+,0.663
392,5:deer,5:deer,,0.421
393,5:deer,5:deer,,0.407
394,5:deer,8:horse,+,0.652
395,5:deer,2:automobile,+,0.731
396,5:deer,5:deer,,0.329
397,5:deer,5:deer,,0.407
398,5:deer,5:deer,,0.405
399,5:deer,5:deer,,0.407
400,5:deer,5:deer,,0.405
1,7:frog,7:frog,,0.701
2,7:frog,7:frog,,0.701
3,7:frog,7:frog,,0.323
4,7:frog,7:frog,,0.701
5,7:frog,7:frog,,0.442
6,7:frog,7:frog,,0.442
7,7:frog,3:bird,+,0.521
8,7:frog,7:frog,,0.482
9,7:frog,6:dog,+,0.272
10,7:frog,1:airplane,+,0.701
11,7:frog,7:frog,,0.57
12,7:frog,7:frog,,0.442
13,7:frog,8:horse,+,0.642
14,7:frog,7:frog,,0.337
15,7:frog,3:bird,+,0.521
16,7:frog,7:frog,,0.704
17,7:frog,7:frog,,0.482
18,7:frog,7:frog,,0.318
19,7:frog,7:frog,,0.313
20,7:frog,7:frog,,0.442
21,7:frog,7:frog,,0.704
22,7:frog,3:bird,+,0.521
23,7:frog,7:frog,,0.442
24,7:frog,7:frog,,0.315
25,7:frog,7:frog,,0.323
26,7:frog,7:frog,,0.701
27,7:frog,7:frog,,0.705
28,7:frog,3:bird,+,0.523
29,7:frog,7:frog,,0.703
30,7:frog,8:horse,+,0.522
31,7:frog,7:frog,,0.701
32,7:frog,7:frog,,0.704
33,7:frog,7:frog,,0.313
34,7:frog,4:cat,+,0.4
35,7:frog,7:frog,,0.323
36,7:frog,7:frog,,0.57
37,7:frog,7:frog,,0.337
38,7:frog,7:frog,,0.701
39,7:frog,7:frog,,0.313
40,7:frog,8:horse,+,0.703
41,7:frog,7:frog,,0.313
42,9:ship,7:frog,+,0.323
43,9:ship,9:ship,,0.638
44,9:ship,9:ship,,0.638
45,9:ship,9:ship,,0.647
46,9:ship,1:airplane,+,0.53
47,9:ship,6:dog,+,0.535
48,9:ship,9:ship,,0.629
49,9:ship,10:truck,+,0.769
50,9:ship,9:ship,,0.647
51,9:ship,8:horse,+,0.703
52,9:ship,1:airplane,+,0.53
53,9:ship,1:airplane,+,0.658
54,9:ship,9:ship,,0.644
55,9:ship,9:ship,,0.63
56,9:ship,1:airplane,+,0.51
57,9:ship,9:ship,,0.261
58,9:ship,9:ship,,0.261
59,9:ship,9:ship,,0.647
60,9:ship,9:ship,,0.63
61,9:ship,9:ship,,0.261
62,9:ship,1:airplane,+,0.658
63,9:ship,9:ship,,0.647
64,9:ship,9:ship,,0.638
65,9:ship,6:dog,+,0.535
66,9:ship,2:automobile,+,0.77
67,9:ship,9:ship,,0.629
68,9:ship,2:automobile,+,0.77
69,9:ship,9:ship,,0.638
70,9:ship,9:ship,,0.647
71,9:ship,1:airplane,+,0.603
72,9:ship,1:airplane,+,0.603
73,9:ship,9:ship,,0.638
74,9:ship,9:ship,,0.638
75,9:ship,10:truck,+,0.769
76,9:ship,9:ship,,0.647
77,9:ship,9:ship,,0.644
78,9:ship,3:bird,+,0.608
79,9:ship,9:ship,,0.638
80,9:ship,1:airplane,+,0.51
81,9:ship,6:dog,+,0.272
82,1:airplane,9:ship,+,0.261
83,1:airplane,1:airplane,,0.53
84,1:airplane,1:airplane,,0.713
85,1:airplane,9:ship,+,0.63
86,1:airplane,1:airplane,,0.745
87,1:airplane,1:airplane,,0.699
88,1:airplane,9:ship,+,0.647
89,1:airplane,1:airplane,,0.701
90,1:airplane,1:airplane,,0.701
91,1:airplane,1:airplane,,0.603
92,1:airplane,9:ship,+,0.629
93,1:airplane,7:frog,+,0.337
94,1:airplane,3:bird,+,0.523
95,1:airplane,6:dog,+,0.53
96,1:airplane,1:airplane,,0.745
97,1:airplane,1:airplane,,0.745
98,1:airplane,6:dog,+,0.424
99,1:airplane,1:airplane,,0.701
100,1:airplane,9:ship,+,0.629
101,1:airplane,1:airplane,,0.745
102,1:airplane,10:truck,+,0.771
103,1:airplane,2:automobile,+,0.769
104,1:airplane,1:airplane,,0.51
105,1:airplane,1:airplane,,0.751
106,1:airplane,9:ship,+,0.411
107,1:airplane,1:airplane,,0.701
108,1:airplane,2:automobile,+,0.769
109,1:airplane,1:airplane,,0.658
110,1:airplane,2:automobile,+,0.769
111,1:airplane,1:airplane,,0.701
112,1:airplane,2:automobile,+,0.77
113,1:airplane,1:airplane,,0.53
114,1:airplane,9:ship,+,0.629
115,1:airplane,1:airplane,,0.701
116,1:airplane,4:cat,+,0.406
117,1:airplane,1:airplane,,0.745
118,1:airplane,1:airplane,,0.745
119,2:automobile,2:automobile,,0.77
120,2:automobile,1:airplane,+,0.745
121,2:automobile,2:automobile,,0.721
122,2:automobile,2:automobile,,0.77
123,2:automobile,2:automobile,,0.77
124,2:automobile,10:truck,+,0.769
125,2:automobile,2:automobile,,0.77
126,2:automobile,6:dog,+,0.504
127,2:automobile,2:automobile,,0.77
128,2:automobile,2:automobile,,0.77
129,2:automobile,9:ship,+,0.647
130,2:automobile,2:automobile,,0.77
131,2:automobile,2:automobile,,0.77
132,2:automobile,2:automobile,,0.776
133,2:automobile,8:horse,+,0.47
134,2:automobile,10:truck,+,0.729
135,2:automobile,2:automobile,,0.77
136,2:automobile,2:automobile,,0.77
137,2:automobile,10:truck,+,0.737
138,2:automobile,9:ship,+,0.629
139,2:automobile,10:truck,+,0.779
140,2:automobile,4:cat,+,0.4
141,2:automobile,10:truck,+,0.729
142,2:automobile,2:automobile,,0.77
143,2:automobile,2:automobile,,0.77
144,2:automobile,2:automobile,,0.384
145,2:automobile,2:automobile,,0.77
146,2:automobile,4:cat,+,0.4
147,2:automobile,8:horse,+,0.703
148,2:automobile,8:horse,+,0.299
149,2:automobile,2:automobile,,0.775
150,2:automobile,8:horse,+,0.703
151,2:automobile,2:automobile,,0.771
152,2:automobile,2:automobile,,0.409
153,2:automobile,6:dog,+,0.504
154,2:automobile,2:automobile,,0.785
155,2:automobile,1:airplane,+,0.603
156,2:automobile,2:automobile,,0.409
157,2:automobile,2:automobile,,0.598
158,8:horse,8:horse,,0.638
159,8:horse,8:horse,,0.638
160,8:horse,7:frog,+,0.337
161,8:horse,7:frog,+,0.313
162,8:horse,8:horse,,0.703
163,8:horse,8:horse,,0.703
164,8:horse,5:deer,+,0.326
165,8:horse,7:frog,+,0.322
166,8:horse,8:horse,,0.703
167,8:horse,3:bird,+,0.335
168,8:horse,8:horse,,0.703
169,8:horse,10:truck,+,0.737
170,8:horse,8:horse,,0.638
171,8:horse,6:dog,+,0.414
172,8:horse,8:horse,,0.47
173,8:horse,6:dog,+,0.416
174,8:horse,8:horse,,0.703
175,8:horse,8:horse,,0.703
176,8:horse,8:horse,,0.638
177,8:horse,6:dog,+,0.403
178,8:horse,8:horse,,0.703
179,8:horse,8:horse,,0.47
180,8:horse,8:horse,,0.47
181,8:horse,8:horse,,0.642
182,8:horse,8:horse,,0.702
183,8:horse,8:horse,,0.703
184,8:horse,8:horse,,0.703
185,8:horse,8:horse,,0.688
186,8:horse,8:horse,,0.702
187,8:horse,8:horse,,0.638
188,8:horse,9:ship,+,0.647
189,8:horse,5:deer,+,0.326
190,8:horse,6:dog,+,0.416
191,8:horse,6:dog,+,0.414
192,8:horse,7:frog,+,0.61
193,8:horse,10:truck,+,0.78
194,8:horse,8:horse,,0.702
195,8:horse,7:frog,+,0.322
196,8:horse,8:horse,,0.47
197,8:horse,8:horse,,0.703
198,8:horse,6:dog,+,0.523
199,8:horse,2:automobile,+,0.775
200,3:bird,2:automobile,+,0.775
201,3:bird,3:bird,,0.766
202,3:bird,3:bird,,0.436
203,3:bird,5:deer,+,0.326
204,3:bird,7:frog,+,0.323
205,3:bird,6:dog,+,0.523
206,3:bird,3:bird,,0.776
207,3:bird,9:ship,+,0.644
208,3:bird,3:bird,,0.608
209,3:bird,3:bird,,0.335
210,3:bird,3:bird,,0.523
211,3:bird,3:bird,,0.776
212,3:bird,3:bird,,0.521
213,3:bird,2:automobile,+,0.769
214,3:bird,3:bird,,0.608
215,3:bird,7:frog,+,0.704
216,3:bird,3:bird,,0.366
217,3:bird,7:frog,+,0.442
218,3:bird,7:frog,+,0.337
219,3:bird,3:bird,,0.521
220,3:bird,3:bird,,0.608
221,3:bird,3:bird,,0.523
222,3:bird,3:bird,,0.766
223,3:bird,7:frog,+,0.701
224,3:bird,3:bird,,0.523
225,3:bird,3:bird,,0.776
226,3:bird,2:automobile,+,0.409
227,3:bird,6:dog,+,0.539
228,3:bird,3:bird,,0.523
229,3:bird,8:horse,+,0.69
230,3:bird,3:bird,,0.776
231,3:bird,3:bird,,0.335
232,3:bird,3:bird,,0.335
233,3:bird,6:dog,+,0.539
234,3:bird,7:frog,+,0.323
235,3:bird,10:truck,+,0.769
236,3:bird,6:dog,+,0.535
237,3:bird,6:dog,+,0.539
238,3:bird,7:frog,+,0.322
239,3:bird,9:ship,+,0.638
240,3:bird,9:ship,+,0.261
241,4:cat,6:dog,+,0.38
242,4:cat,6:dog,+,0.403
243,4:cat,4:cat,,0.37
244,4:cat,7:frog,+,0.482
245,4:cat,5:deer,+,0.326
246,4:cat,4:cat,,0.4
247,4:cat,7:frog,+,0.315
248,4:cat,2:automobile,+,0.77
249,4:cat,6:dog,+,0.514
250,4:cat,3:bird,+,0.366
251,4:cat,7:frog,+,0.442
252,4:cat,10:truck,+,0.769
253,4:cat,7:frog,+,0.323
254,4:cat,3:bird,+,0.521
255,4:cat,6:dog,+,0.536
256,4:cat,4:cat,,0.4
257,4:cat,6:dog,+,0.414
258,4:cat,6:dog,+,0.533
259,4:cat,3:bird,+,0.776
260,4:cat,6:dog,+,0.523
261,4:cat,6:dog,+,0.514
262,4:cat,3:bird,+,0.608
263,4:cat,7:frog,+,0.704
264,4:cat,6:dog,+,0.514
265,4:cat,1:airplane,+,0.51
266,4:cat,9:ship,+,0.63
267,4:cat,6:dog,+,0.336
268,4:cat,6:dog,+,0.536
269,4:cat,8:horse,+,0.638
270,4:cat,7:frog,+,0.323
271,4:cat,9:ship,+,0.379
272,4:cat,4:cat,,0.406
273,4:cat,10:truck,+,0.737
274,4:cat,8:horse,+,0.47
275,4:cat,7:frog,+,0.315
276,4:cat,4:cat,,0.406
277,4:cat,8:horse,+,0.47
278,4:cat,6:dog,+,0.414
279,4:cat,7:frog,+,0.57
280,4:cat,6:dog,+,0.427
281,4:cat,7:frog,+,0.442
282,10:truck,2:automobile,+,0.77
283,10:truck,9:ship,+,0.261
284,10:truck,9:ship,+,0.411
285,10:truck,10:truck,,0.729
286,10:truck,10:truck,,0.78
287,10:truck,10:truck,,0.779
288,10:truck,10:truck,,0.737
289,10:truck,10:truck,,0.771
290,10:truck,9:ship,+,0.261
291,10:truck,10:truck,,0.78
292,10:truck,10:truck,,0.705
293,10:truck,2:automobile,+,0.769
294,10:truck,10:truck,,0.78
295,10:truck,10:truck,,0.78
296,10:truck,9:ship,+,0.647
297,10:truck,10:truck,,0.705
298,10:truck,7:frog,+,0.322
299,10:truck,9:ship,+,0.647
300,10:truck,10:truck,,0.771
301,10:truck,10:truck,,0.729
302,10:truck,2:automobile,+,0.77
303,10:truck,8:horse,+,0.703
304,10:truck,2:automobile,+,0.775
305,10:truck,9:ship,+,0.261
306,10:truck,8:horse,+,0.702
307,10:truck,10:truck,,0.737
308,10:truck,10:truck,,0.705
309,10:truck,10:truck,,0.737
310,10:truck,10:truck,,0.779
311,10:truck,10:truck,,0.771
312,10:truck,2:automobile,+,0.77
313,10:truck,3:bird,+,0.608
314,10:truck,10:truck,,0.78
315,10:truck,6:dog,+,0.504
316,10:truck,6:dog,+,0.504
317,10:truck,2:automobile,+,0.771
318,10:truck,10:truck,,0.771
319,10:truck,6:dog,+,0.416
320,10:truck,10:truck,,0.705
321,10:truck,10:truck,,0.769
322,6:dog,6:dog,,0.533
323,6:dog,6:dog,,0.536
324,6:dog,6:dog,,0.514
325,6:dog,6:dog,,0.535
326,6:dog,6:dog,,0.535
327,6:dog,2:automobile,+,0.769
328,6:dog,2:automobile,+,0.775
329,6:dog,2:automobile,+,0.769
330,6:dog,7:frog,+,0.482
331,6:dog,6:dog,,0.523
332,6:dog,6:dog,,0.514
333,6:dog,3:bird,+,0.521
334,6:dog,6:dog,,0.514
335,6:dog,6:dog,,0.471
336,6:dog,6:dog,,0.536
337,6:dog,6:dog,,0.422
338,6:dog,7:frog,+,0.315
339,6:dog,2:automobile,+,0.769
340,6:dog,10:truck,+,0.705
341,6:dog,1:airplane,+,0.701
342,6:dog,6:dog,,0.422
343,6:dog,1:airplane,+,0.603
344,6:dog,8:horse,+,0.638
345,6:dog,6:dog,,0.538
346,6:dog,6:dog,,0.416
347,6:dog,6:dog,,0.539
348,6:dog,7:frog,+,0.704
349,6:dog,6:dog,,0.471
350,6:dog,6:dog,,0.416
351,6:dog,6:dog,,0.403
352,6:dog,2:automobile,+,0.409
353,6:dog,6:dog,,0.536
354,6:dog,2:automobile,+,0.77
355,6:dog,5:deer,+,0.326
356,6:dog,6:dog,,0.471
357,6:dog,6:dog,,0.536
358,6:dog,6:dog,,0.523
